Card Name,Art File,Temple,Tier,Cost,Power,Health,Sigils,Token,Traits,Tribes,Flavor Text,Credit,Tags
Skulking Valravn,SkulkingValravn.png,Magick,Rare,1 shattered emerald + 1 shattered prism,0,5,"Dust Power, Dust Gatherer",,,Corrupted Avian,It feasts on broken relics.,Pixel Profligate,
Masked Gemhorror,MaskedGemhorror.png,Magick,Rare,2 emerald + 1 prism,X,2,"Bifurcated Strike, Dust Eater",,Gem Power,Aberration,"Frail, but powerful beyond belief.",Desaft,
Void Maw,VoidMaw.png,Magick,Rare,2 prisms + 1 emerald,X,5,"Bloodsucker, Gem-locked",,,Aberration,The all-consuming terror from the abyss.,Omega Shambler,
Grand Transmuter,GrandTransmuter.png,Magick,Rare,1 shattered emerald,1,2,"Green Gem, LATCH_Prism Gem",,,Corrupted Mage,"Their greatest work, themselves.",Herilind,
Umbral Puppeteer,UmbralPuppeteer.png,Magick,Rare,1 shattered emerald,0,3,Illusion Dust,,,Wizard,Their servants are lucky to have them.,Herilind,
Puppet Mage,PuppetMage.png,Magick,Talking,1 emerald,1,1,"Touch of Death, Soul Stealer",,Bloodless,Posessed Mage,,Pixel Profligate,bloodless_bg
Shower Mage,ShowerMage.png,Magick,Talking,1 emerald,1,2,Putrid Essence,,,Mage,"""Uhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh...""",Murigen,
Slime Mage,SlimeMage.png,Magick,Talking,1 emerald,1,1,Imitation Art,,,Mage,"""AARRGH! I'll try my best!""",Pixel Profligate,
Ambush Mage,AmbushMage.png,Magick,Common,1 ruby,1,1,Aggressive,,,Mage,This attack could have been predicted.,Murigen,
Gem Detonator,GemDetonator.png,Magick,Common,1 ruby,1,1,Gem Detonator,,,,A rebel among the ranks.,Murigen,
Gem Doctor,GemDoctor.png,Magick,Common,1 ruby,1,1,Gem Reinforce,,,Sage,Still practices with healing crystals.,Murigen,
Lizard Wizard,LizardWizard.png,Magick,Common,1 ruby,1,1,"Loose Tail, Familiar",Wriggling Tail,,Reptile,king gizzard died in the bite of 87,,
Mage Knight,MageKnight.png,Magick,Common,1 ruby,1,3,"Gem Dependent, Sharp Quills",,,Mage Knight,Ever stalwart in the face of challenge.,Pixel Profligate,
Orange Mage,OrangeMage.png,Magick,Common,1 ruby,0,1,Gem Animator,,,Mage Knight,"With practice, even mox have potential.",Pixel Profligate,
Practice Wizard,PracticeWizard.png,Magick,Common,1 ruby,0,3,Taunt,,,Wizard Construct,"Good for getting hit, but not much else.",Pixel Profligate,
Resolute Gemsmith,ResoluteGemsmith.png,Magick,Common,1 ruby,0,3,Gem Intercept,,,,An expert jeweler.,syntaxevasion,
Ruby Golem,RubyGolem.png,Magick,Common,1 ruby,1,1,Ruby Heart,Ruby Mox,Bloodless,Construct,A hulking construct driven by mox.,Pixel Profligate,bloodless_bg
Spike Mage,SpikeMage.png,Magick,Common,1 ruby,0,2,Gem Instability,,,Mage,Some mox magicks can be very unstable.,Murigen,
Telekinetic,Telekinetic.png,Magick,Common,1 ruby,1,1,Restructure,,,Mage,Summoned when a formation is broken.,Murigen,
Wisp,Wisp.png,Magick,Common,1 ruby,0,1,Soul Strike,,,Mox Spectre,"Without form, but charged in its will.",,
Exalted Warden,ExaltedWarden.png,Magick,Common,1 ruby + 1 prism,1,3,"Snag, RAINBOW, Gem Instability",,,Wizard Knight,Stopping awry magicks is quite a feat.,Murigen,
Iron Maiden,IronMaiden.png,Magick,Common,1 ruby + 1 prism,1,1,"Armored, Sharp Quills",,,Machine,The price of insubordinance is pain.,Pixel Profligate,
Tamer Toad,TamerToad.png,Magick,Common,1 ruby + 1 prism,1,3,Truest Patron,,,Amphibian Sage,"The magic of beasts, the beast of magic.",Desaft,
Guardian Mage,GuardianMage.png,Magick,Common,1 shattered ruby,1,1,Gem Guardian,,,Mage,Protective of what fuels their magic.,Pixel Profligate,
Mox Mage,MoxMage.png,Magick,Common,1 shattered ruby,1,2,"Orange Gem, Familiar",,,Mox Mage,A mox gained form... how curious.,Pixel Profligate,
Basilisk,Basilisk.png,Magick,Common,1 shattered ruby,1,6,"Familiar, Made of Stone, Bastion",,,Reptile,Don't look it in the eyes. It'll go away.,Murigen,
Spellsword Mercenary,SpellswordMercenary.png,Magick,Common,1 ruby + 1 prism,1,1,"Soul Strike, RAINBOW, Enhanced",,,Posessed Sage,A proud mage's honor never dies.,Murigen,
Gem Banneret,GemBanneret.png,Magick,Uncommon,1 ruby + 1 prism,0,2,"Leader, Annoying",,,Wizard Knight,Rallying the inanimate into a fervour.,Pixel Profligate,
Koi,Koi.png,Magick,Uncommon,1 ruby,0,1,"Leader, Waterborne, Familiar",,,Fish,No longer suited to live in the wild.,Murigen,
Enigmatic Paladin,EnigmaticPaladin.png,Magick,Rare,1 ruby + 1 prism,2,2,"Rainbow, Repulsive",,,Sage Knight,"An imprenetrable defense, when empowered.",Pixel Profligate,
Grand Machinist,GrandMachinist.png,Magick,Rare,2 rubies + 1 prism,0,3,"Gem Animator, Gem Instability, Gem Greed",,,Wizard,A paragon of gem augmentation.,Herilind,
Knight of Amber,KnightofAmber.png,Magick,Rare,1 ruby + 1 prism,1,4,"Made of Stone, Dust Barrier",,,Aberration Knight,"Sworn to protect, for all eternity.",Pixel Profligate,
Odious Sovereign,OdiousSovereign.png,Magick,Rare,3 rubies,1,5,"Gem Greed, RAINBOW, Leader",,,,Hungry for riches and power.,Murigen,
Pike Sage,PikeSage.png,Magick,Talking,1 ruby,1,1,Piercing,,Pike Sage Trait,Sage,"""Ideally, you will play me well.""",Pixel Profligate,
Mending Mage,MendingMage.png,Magick,Talking,1 ruby,1,3,Gem Repair,,,Mage,"""Doesn't matter!! I got another one!!!""",,
Ardent Intellectual,ArdentIntellectual.png,Magick,Common,1 sapphire,1,2,Arcane Echo,,,Sage,His success comes from copying others.,Murigen,
Blue Mage,BlueMage.png,Magick,Common,1 sapphire,0,1,Mental Gemnastics,,,Mage,Creation is a powerful tool.,Pixel Profligate,
Crow,Crow.png,Magick,Common,1 sapphire,1,1,"Airborne, Familiar, All-Sight",,,Avian,It might have found something magical.,Murigen,
Esoteric Savant,EsotericSavant.png,Magick,Common,1 sapphire + 1 prism,0,3,Reaction Replica,,,Corrupted Wizard,Never content with casting a spell once.,Murigen,
Gem Fiend,GemFiend.png,Magick,Common,1 sapphire,2,1,Gem Dependent,,,Corrupted Sage,"Ravenous, driven mad by the gems.",Pixel Profligate,
Hover Mage,HoverMage.png,Magick,Common,1 sapphire,1,2,Airborne,,,Mage,"Flight is challenging, but useful.",Pixel Profligate,
Lazuli Construct,LazuliConstruct.png,Magick,Common,1 sapphire,1,1,Repulsing Transformer,,Bloodless,Mox Construct,"An intricate construct, driven by mox.",Pixel Profligate,bloodless_bg
Magickant,Magickant.png,Magick,Common,1 ruby,0,2,"Many Lives, Familiar",,,Ant Insect,It has learned the summoner's ways.,Desaft,
Party Magician,PartyMagician.png,Magick,Common,1 sapphire,1,1,Rabbit Hole,,,Mage,"Nothing spectacular, but entertaining.",Pixel Profligate,
Spell Counter,SpellCounter.png,Magick,Common,1 sapphire,0,2,Cold Read,,,Wizard,Knowledge is power.,Murigen,
Soothsayer,Soothsayer.png,Magick,Common,1 sapphire,1,2,Divination,,,Sage,"Can see the future, but not change it.",Pixel Profligate,
Summoner's Rift,SummonersRift.png,Magick,Common,1 sapphire,0,2,Wild Reshape,,,Aberration,Only the fates know what will emerge.,Murigen,
Bauble Burglar,BaubleBurglar.png,Magick,Common,1 shattered sapphire,1,1,"Side Hustle, RAINBOW, Sniper",,,Outlaw,,Murigen,
Heartflayer,Heartflayer.png,Magick,Common,1 shattered sapphire,X,1,,,traeH Power,Corrupted Sage,Armed with perfect knowledge of its foe.,Murigen,
Fortune Teller,FortuneTeller.png,Magick,Common,1 sapphire + 1 prism,1,3,All-Sight,,,Wizard,Do you wish to know your fate?,Murigen,
Opulent Hoodlum,OpulentHoodlum.png,Magick,Common,1 sapphire + 1 prism,0,3,Rampager,,,Outlaw Mox Wizard,A purveyor of dark-market crystals.,Murigen,
Solemn Arcanist,SolemnArcanist.png,Magick,Common,1 sapphire + 1 prism,1,2,Arcane Blessing,,,Corrupted Sage,He sees magicks as crucial for triumph.,Murigen,
Arcane Trickster,ArcaneTrickster.png,Magick,Common,1 shattered sapphire,X,1,Sniper,,Mirror Power,Outlaw,A deadly master of sleight of hand.,Murigen,
Clandestine Swindler,ClandestineSwindler.png,Magick,Common,1 shattered sapphire + 1 shattered prism,1,1,"Bifurcated Strike, Looter",,,Outlaw,Flawless crimes lead to opportunities.,Murigen,
Gembound Ripper,GemboundRipper.png,Magick,Common,1 shattered sapphire + 1 shattered prism,4,4,Gem Dependent,,,Aberration,A lust for gems and for blood.,Pixel Profligate,
Force Mage,ForceMage.png,Magick,Uncommon,1 sapphire,0,1,Repulsive,,,Mage,Repelling the greatest of assaults.,Pixel Profligate,
Pedantic Hag,PedanticHag.png,Magick,Uncommon,1 shattered sapphire,1,1,"Corpse Eater, Purist, Gem Dependent",,,Corrupted Sage,Rambles on incorrect spell recitations.,Murigen,
Wildfrost Drake,WildfrostDrake.png,Magick,Uncommon,1 shattered sapphire,2,4,"Familiar, Gem Dependent, Airborne",,,Reptile,"Adept, but troublesome to keep contained.",Muritgen,
Faterender,Faterender.png,Magick,Rare,1 sapphire + 1 prism,1,1,"Snag, Purist, RAINBOW, Touch of Death",,,Wizard,,Murigen,
All-Seeing Oracle,AllSeeingOracle.png,Magick,Rare,1 sapphire + 2 prism,1,4,Prophecy,,,Sage,Fate has been subdued to their will.,Herilind,
Hourglass Sycophant,HourglassSycophant.png,Magick,Rare,1 shattered sapphire,1,2,"Reaction Replica, Double Death, Arcane Echo",,,Wizard,An unmatched master in time.,Murigen,
Brogg Polliwog,BroggPolliwog.png,Magick,Rare,1 sapphire + 1 prism,1,3,"Mighty Leap, Frog Friend",,,Amphibian Sage,A wondrous friend to all frog kind.,Pixel Profligate,
Blue Archmagus,BlueArchmagus.png,Magick,Rare,1 shattered sapphire,2,2,"Mental Fortitude, Gem Dependent",,,Skeleton Mage,"Aeons, spent learning the mystifying...",Desaft,
Lonely Wizard,LonelyWizard.png,Magick,Talking,1 sapphire,1,2,"Clinger, Stimulate",,,Wizard,"""YES! PLAY ME! STIMULATE ME!""",Pixel Profligate,
Thief Mage,ThiefMage.png,Magick,Talking,1 sapphire,0,3,"Looter, Side Hustle",,,Outlaw Mage,"""So... a little help?""",Murigen,
Bixhound,Bixhound.png,Magick,Common,1 emerald + 1 ruby,2,3,"Guardian, Familiar",,,Canine Hound,A very loyal magickal companion.,Pixel Profligate,
Chimera Warden,ChimeraWarden.png,Magick,Common,1 emerald + 1 ruby,1,2,"Bloodlust, RAINBOW, Gem Animator",,,Knight,"A hybrid, loyal and fierce to a fault.","Yoyo, Bluemem",
Skyborne Soldier,SkyborneSoldier.png,Magick,Common,1 ruby + 1 sapphire,1,2,"Airborne, Sprinter, RAINBOW, Enhanced",,,Knight,The utmost dedication to duty.,Pixel Profligate,
Maniacal Martialist,ManiacalMartialist.png,Magick,Common,1 ruby + 1 sapphire,1,2,"Evasion, Bloodlust",,,Outlaw Sage,The frenzy of a newfound might.,"Desaft, Murigen",
Mysterious Merchant,MysteriousMerchant.png,Magick,Common,1 emerald + 1 sapphire,0,4,"Trinket Bearer, RAINBOW, Enhanced",,,,Browse his wares for oddities.,Murigen,
Baleful Polymorph,BalefulPolymorph.png,Magick,Common,1 emerald + 1 ruby,0,1,Polymorph,,,Corrupted Mage,All succumb to transformation's chaos.,,
Book Burner,BookBurner.png,Magick,Rare,1 emerald + 1 sapphire,0,4,Firey Rummage,,,,Revealed secrets are theirs to keep.,Pixel Profligate,
Goranj's Mox,GoranjsMox.png,Magick,Rare,1 shattered prism,0,2,"Green Gem, Orange Gem",,Bloodless,Mox,Created by Goranj to strengthen them.,Desaft,bloodless_bg
Orlu's Mox,OrlusMox.png,Magick,Rare,1 shattered prism,0,2,"Orange Gem, Blue Gem",,Bloodless,Mox,Created by Orlu to focus her will.,Desaft,bloodless_bg
Bleene's Mox,BleenesMox.png,Magick,Rare,1 shattered prism,0,2,"Blue Gem, Green Gem",,Bloodless,Mox,Created by Bleene to harness his insight.,Desaft,bloodless_bg
Master Goranj,MasterGoranj.png,Magick,Rare,1 emerald + 1 ruby,3,6,Gem Dependent,,,Wizard,"Admittedly, more brute than wizard.",Pixel Profligate,
Master Orlu,MasterOrlu.png,Magick,Rare,1 ruby + 1 sapphire,1,3,"Airborne, Looter, Soul Strike",,,Knight,"Fight or flight? Why, both are ideal.",Pixel Profligate,
Master Bleene,MasterBleene.png,Magick,Rare,1 sapphire + 1 emerald,0,4,True Scholar,,,Sage,"Creation's master, a life for a life.",Pixel Profligate,
Magnus Mox,MagnusMox.png,Magick,Rare,1 shattered prism,0,7,"Magnificent Gem, Made of Stone, Death Sentence",,,Mox,A conduit for truly grand magicks.,Desaft,
Umbral Wealth Cabal,UmbralWealthCabal.png,Magick,Rare,1 sapphire + 1 ruby + 1 emerald,3,3,"Gem Detonator, Gem Greed, Energy Gun",,,Wizard Outlaw,They love casting spells.,Murigen,
Dark Mage,DarkMage.png,Magick,Talking,1 sapphire + 1 prism,1,1,Arcane Echo,,,Mage,"""Ierth, fira and aer, all thal I'll need.""",Murigen,
Fluttering Friend,FlutteringFriend.png,Magick,Talking,1 sapphire + 1 ruby,1,2,"Airborne, Guardian, To a Flame",,,Insect Wizard,"""Hah! These new friends are wonderful!""",Murigen,
Perilous Pyromancer,PerilousPyromancer.png,Magick,Talking,1 emerald + 1 ruby,1,3,"Gem Animator, Fireball",,,Mage,"""Let what you hold dear be scorched.""",PaperPyro,
Prideful Princess,PridefulPrincess.png,Magick,Talking,1 ruby + 1 sapphire,1,1,Prosperity,,,Noble Sage,"""Come, my dear! Be yourself here!""",Herilind,
Altar of Malachite,AltarofMalachite.png,Magick,Common,1 blood,0,3,Green Gem,,,Mox Altar,Reinforced with the might of the body.,Pixel Profligate,
Altar of Citrine,AltarofCitrine.png,Magick,Common,1 blood,0,3,Orange Gem,,,Mox Altar,Made with the dedication of the soul.,Pixel Profligate,
Altar of Azurite,AltarofAzurite.png,Magick,Common,1 blood,0,3,Blue Gem,,,Mox Altar,Perfected with the ingenuity of the mind.,Pixel Profligate,
Garden of Soul,GardenofSoul.png,Magick,Common,1 shattered sapphire,0,3,"Orange Gem, Unholy Will",,,Mox Altar,What is drive without rest?,Murigen,
Library of Mind,LibraryofMind.png,Magick,Common,1 shattered emerald,0,3,"Blue Gem, Infinite Knowledge",,,Mox Altar,What is wisdom without discovery?,Murigen,
Monolith of Form,MonolithofForm.png,Magick,Common,1 shattered ruby,0,3,"Green Gem, Eternal Life",,,Mox Altar,What is perfection without refinement?,Murigen,
Mad Cultist,MadCultist.png,Magick,Common,2 blood,2,1,Mental Gemnastics,,,Cultist,Led astray by falsities and sacrifices.,Pixel Profligate,
Mad Prophet,MadProphet.png,Magick,Common,2 blood,1,3,"Snag, Divination",,Altar Bonus,Cultist,Power comes from the name you chose.,Pixel Profligate,
Mad Conspirator,MadConspirator.png,Magick,Common,2 blood,X,3,Hoarder,,Gem Power,Cultist,"Twelve sets in the morning, two at eve.",Desaft,
Mad Ritualist,MadRitualist.png,Magick,Common,2 blood,X,4,"Life Donor, Animated Hemanation",,Gem Power,Cultist,,Pixel Profligate,
Null Mage,NullMage.png,Magick,Common,6 energy,1,3,Prism Conduit,,,Android Conduit Mage,Even mages see the value of energy.,Pixel Profligate,
Forgotten Soul,ForgottenSoul.png,Undead,Side Deck,1 energy,1,1,Brittle,,Bloodless,Spectre,Some souls never find salvation.,Murigen,bloodless_bg
Empty Vessel,EmptyVessel.png,Tech,Side Deck,1 energy,0,2,,,,,No functionality has been inserted.,Pixel Profligate,
